Rank;Title;Artists;Date;Danceability;Energy;Loudness;Speechiness;Acousticness;Instrumentalness;Valence;id
85;Bye;Peso Pluma;29/05/2023;0.782;0.812;-6613.0;0.047;0.567;0.0;0.7;6n2P81rPk2RTzwnNNgFOdb
86;Fin de Semana;Oscar Maydon, Junior H;29/05/2023;0.699;0.541;-4943.0;0.083;0.063;0.0;0.365;6TBzRwnX2oYd8aOrOuyK1p
87;Bite Me;ENHYPEN;29/05/2023;0.795;0.781;-4647.0;0.141;0.285;0.0;0.687;7mpdNiaQvygj2rHoxkzMfa
88;Set Fire to the Rain;Adele;29/05/2023;0.603;0.67;-3882.0;0.025;0.004;0.0;0.446;7j4OmvkjRz0PrjFADlHfQx
89;La Jumpa;Arcángel, Bad Bunny;29/05/2023;0.887;0.234;-14.52;0.178;0.111;0.67;0.197;2mnXxnrX5vCGolNkaFvVeM
90;Chemical;Post Malone;29/05/2023;0.498;0.897;-4907.0;0.045;0.001;0.0;0.373;5w40ZYhbBMAlHYNDaVJIUu
91;Feliz Cumpleaños Ferxxo;Feid;29/05/2023;0.865;0.573;-5501.0;0.068;0.086;0.0;0.563;2CeKVsFFXG4QzA415QygGb
92;Summertime Sadness;Lana Del Rey;29/05/2023;0.568;0.646;-6793.0;0.033;0.046;0.0;0.211;1FEiijYPJtyswChfcpv3p0
93;Eyes Closed;Ed Sheeran;29/05/2023;0.793;0.52;-7457.0;0.07;0.246;0.0;0.309;3p7XQpdt8Dr6oMXSvRZ9bg
94;Perfect;Ed Sheeran;29/05/2023;0.599;0.448;-6312.0;0.023;0.163;0.0;0.168;0tgVpDi06FyKpA1z0VMD4v
95;Romantic Homicide;d4vd;29/05/2023;0.571;0.544;-10613.0;0.03;0.453;0.008;0.216;1xK59OXxi2TAAAbmZK0kBL
96;Under The Influence;Chris Brown;29/05/2023;0.733;0.69;-5529.0;0.043;0.064;0.0;0.31;5IgjP7X4th6nMNDh4akUHb
97;El Merengue;Marshmello, Manuel Turizo;29/05/2023;0.775;0.677;-4703.0;0.044;0.031;0.005;0.698;51FvjPEGKq2zByeeEQ43V9
98;Area Codes;Kali;29/05/2023;0.823;0.388;-10867.0;0.491;0.019;0.0;0.507;7sliFe6W30tPBPh6dvZsIH
99;Night Changes;One Direction;29/05/2023;0.672;0.52;-7747.0;0.035;0.859;0.0;0.37;5O2P9iiztwhomNh8xkR9lJ
100;Sunflower - Spider-Man: Into the Spider-Verse;Post Malone, Swae Lee;29/05/2023;0.755;0.522;-4368.0;0.058;0.533;0.0;0.925;0RiRZpuVRbi7oqRdSMwhQY
101;Queencard;(G)I-DLE;29/05/2023;0.815;0.834;-2828.0;0.048;0.033;0.0;0.692;4uOBL4DDWWVx4RhYKlPbPC
102;Trance (with Travis Scott & Young Thug);Metro Boomin, Travis Scott, Young Thug;29/05/2023;0.571;0.549;-7.38;0.404;0.18;0.0;0.447;5wG3HvLhF6Y5KTGlK0IW3J
103;Lavender Haze;Taylor Swift;29/05/2023;0.733;0.436;-10489.0;0.08;0.258;0.001;0.098;5jQI2r1RdgtuT8S3iG8zFC
104;No Role Modelz;J. Cole;29/05/2023;0.69;0.521;-8492.0;0.339;0.324;0.0;0.494;68Dni7IE4VyPkTOH9mRWHr
105;Que Vuelvas;Carin Leon, Grupo Frontera;29/05/2023;0.491;0.643;-4309.0;0.044;0.187;0.0;0.779;6Um358vY92UBv5DloTRX9L
106;Cold Heart - PNAU Remix;Elton John, Dua Lipa, PNAU;29/05/2023;0.795;0.8;-6.32;0.031;0.035;0.0;0.934;6JIC3hbC28JZKZ8AlAqX8h
107;アイドル;YOASOBI;29/05/2023;0.574;0.935;-2783.0;0.093;0.112;0.0;0.836;7ovUcF5uHTBRzUpB6ZOmvt
108;Sure Thing;Miguel;29/05/2023;0.684;0.607;-8127.0;0.1;0.027;0.0;0.498;0JXXNGljqupsJaZsgSbMZV
109;505;Arctic Monkeys;29/05/2023;0.52;0.852;-5866.0;0.054;0.002;0.0;0.234;58ge6dfP91o9oXMzq3XkIS
110;Players;Coi Leray;29/05/2023;0.954;0.516;-5817.0;0.16;0.03;0.0;0.624;6UN73IYd0hZxLi8wFPMQij
111;AMERICA HAS A PROBLEM (feat. Kendrick Lamar);Beyoncé, Kendrick Lamar;29/05/2023;0.784;0.7;-5289.0;0.04;0.011;0.0;0.204;6l8mgVN9Xf1hiDIFGA6CTE
112;Someone You Loved;Lewis Capaldi;29/05/2023;0.501;0.405;-5679.0;0.032;0.751;0.0;0.446;7qEHsqek33rTcFNT9PFqLf
113;Nonsense;Sabrina Carpenter;29/05/2023;0.74;0.697;-4912.0;0.034;0.027;0.0;0.732;6dgUya35uo964z7GZXM07g
114;lovely (with Khalid);Billie Eilish, Khalid;29/05/2023;0.351;0.296;-10109.0;0.033;0.934;0.0;0.12;0u2P5u6lvoDfwTYjAADbn4
115;Ojitos Lindos;Bad Bunny, Bomba Estéreo;29/05/2023;0.647;0.686;-5745.0;0.041;0.08;0.0;0.268;3k3NWokhRRkEPhCzPmV8TW
116;Search & Rescue;Drake;29/05/2023;0.817;0.44;-8482.0;0.073;0.06;0.0;0.544;7aRCf5cLOFN1U7kvtChY1G
117;Bebe Dame;Fuerza Regida, Grupo Frontera;29/05/2023;0.529;0.602;-4629.0;0.046;0.299;0.0;0.756;0IKeDy5bT9G0bA7ZixRT4A
118;Rara Vez;Taiu, Milo j;29/05/2023;0.838;0.708;-4668.0;0.166;0.176;0.0;0.96;7MVIfkyzuUmQ716j8U7yGR
119;Don’t Blame Me;Taylor Swift;29/05/2023;0.615;0.534;-6719.0;0.039;0.106;0.0;0.193;1R0a2iXumgCiFb7HEZ7gUE
120;Without Me;Eminem;29/05/2023;0.908;0.669;-2827.0;0.074;0.003;0.0;0.662;7lQ8MOhq6IN2w8EYcFNSUk
121;Riptide;Vance Joy;29/05/2023;0.484;0.731;-6694.0;0.038;0.431;0.0;0.51;7yq4Qj7cqayVTp3FF9CWbm
122;Bad Habit;Steve Lacy;29/05/2023;0.686;0.494;-7093.0;0.036;0.613;0.0;0.7;4k6Uh1HXdhtusDW5y8Gbvy
123;"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")";Sachin-Jigar, Arijit Singh, Amitabha Bhattacharya;29/05/2023;0.556;0.552;-5875.0;0.037;0.531;0.0;0.531;5QW9K4A1gMnIi94YUxtsfM
